Date,spx,spx_normalised,log_price,log_return,dt,spx_max_drawdown,spx_max_drawdown_dur
2009-03-16,753.8900146484375,1.642068433931246,6.625246488201486,-0.003522120560965014,0.00821917808219178,,0 days
2009-03-17,778.1199951171875,1.694844416248851,6.656880747654475,0.031634259452989255,0.0027397260273972603,-0.012311747738086187,3 days
2009-03-18,794.3499755859375,1.7301953800409409,6.677524139431391,0.020643391776915543,0.0027397260273972603,-0.032491972495568344,2 days
2009-03-19,784.0399780273438,1.7077388927338768,6.664460011432157,-0.013064127999234287,0.0027397260273972603,-0.01976940007446837,1 days
2009-03-20,768.5399780273438,1.6739779193406912,6.644492582480972,-0.019967428951184196,0.0027397260273972603,,0 days
2009-03-23,822.9199829101562,1.792424493403268,6.712858969838709,0.06836638735773626,0.00821917808219178,-0.04300533994584621,7 days
2009-03-24,806.1199951171875,1.7558319810881544,6.69223260874211,-0.020626361096598878,0.0027397260273972603,-0.023061040456650694,6 days
2009-03-25,813.8800048828125,1.7727342703286786,6.701812940987128,0.009580332245017864,0.0027397260273972603,-0.03237575002193538,5 days
2009-03-26,832.8599853515625,1.8140750842389144,6.724865543226958,0.0230526022398303,0.0027397260273972603,-0.054426862680349686,4 days
2009-03-27,815.9400024414062,1.7772212072813052,6.704340825841062,-0.020524717385895563,0.0027397260273972603,-0.03481870365409789,3 days
2009-03-30,787.530029296875,1.7153406687371993,6.668901502413242,-0.035439323427820746,0.00821917808219178,,0 days
2009-03-31,797.8699951171875,1.7378624307337167,6.6819456707909985,0.013044168377756904,0.0027397260273972603,,0 days
2009-04-01,811.0800170898438,1.7666355404332166,6.698366713970741,0.01642104317974269,0.0027397260273972603,,0 days
2009-04-02,834.3800048828125,1.8173858803003113,6.726688939932047,0.028322225961305847,0.0027397260273972603,-0.02256767537530857,5 days
2009-04-03,842.5,1.835072263468322,6.736373662226517,0.009684722294469594,0.0027397260273972603,-0.031988145052856076,4 days
2009-04-06,835.47998046875,1.8197817671706333,6.728006386609836,-0.00836727561668038,0.00821917808219178,-0.02385454246862917,1 days
2009-04-07,815.5499877929688,1.7763717057220245,6.703862717292187,-0.024143669317648886,0.0027397260273972603,,0 days
2009-04-08,825.1599731445312,1.7973034773196377,6.715577274379036,0.01171455708684821,0.0027397260273972603,,0 days
2009-04-09,856.5599975585938,1.8656967282092214,6.752924364999769,0.0373470906207336,0.0027397260273972603,-0.028217501376490373,11 days
2009-04-13,858.72998046875,1.870423227260412,6.755454530855796,0.0025301658560268336,0.010958904109589041,-0.030673164346648907,7 days
2009-04-14,841.5,1.8328941361526327,6.735186013630861,-0.0202685172249355,0.0027397260273972603,-0.010825888712492682,6 days
2009-04-15,852.0599975585938,1.8558951552886191,6.7476569440196785,0.012470930388817969,0.0027397260273972603,-0.023085208748816588,5 days
2009-04-16,865.2999877929688,1.8847335396775722,6.763076253505411,0.015419309485732668,0.0027397260273972603,-0.03803302162117361,4 days
2009-04-17,869.5999755859375,1.8940994605465684,6.76803330773195,0.004957054226538915,0.0027397260273972603,-0.04278974468970964,3 days
2009-04-20,832.3900146484375,1.813051428212864,6.724301098590294,-0.04373220914165632,0.00821917808219178,,0 days
2009-04-21,850.0800170898438,1.8515825057451032,6.745330482806439,0.02102938421614553,0.0027397260273972603,-0.007681664273476052,1 days
2009-04-22,843.5499877929688,1.8373592705613278,6.737619162580961,-0.007711320225478602,0.0027397260273972603,,0 days
2009-04-23,851.9199829101562,1.8555901855582608,6.747492605646743,0.009873443065782084,0.0027397260273972603,,0 days
2009-04-24,866.22998046875,1.8867591821280825,6.764150439667074,0.016657834020331386,0.0027397260273972603,-0.012779524576404522,4 days
2009-04-27,857.510009765625,1.8677659757475946,6.754032852168028,-0.01011758749904601,0.00821917808219178,-0.0027405354973478735,1 days
2009-04-28,855.1599731445312,1.8626472967903198,6.751288554528179,-0.0027442976398495134,0.0027397260273972603,,0 days
2009-04-29,873.6400146484375,1.9028991799850519,6.772668408255343,0.02137985372716411,0.0027397260273972603,-0.0009500676204463598,1 days
2009-04-30,872.8099975585938,1.9010912970891742,6.771717889034598,-0.0009505192207450719,0.0027397260273972603,,0 days
2009-05-01,877.52001953125,1.911350324605314,6.777099769360406,0.005381880325808552,0.0027397260273972603,,0 days
2009-05-04,907.239990234375,1.9760842046152796,6.810407012948132,0.03330724358772574,0.00821917808219178,-0.03098406778155871,67 days
2009-05-05,903.7999877929688,1.9685914413316143,6.806608083470838,-0.0037989294772939886,0.0027397260273972603,-0.027295843376142326,66 days
2009-05-06,919.530029296875,2.0028534744082007,6.823862701800257,0.017254618329419102,0.0027397260273972603,-0.04393551393308459,65 days
2009-05-07,907.3900146484376,1.9764109768895695,6.810572362814496,-0.013290338985760819,0.0027397260273972603,-0.03114428119045831,64 days
2009-05-08,929.22998046875,2.0239812030165147,6.83435626519361,0.023783902379113542,0.0027397260273972603,-0.05391558240583716,63 days
2009-05-11,909.239990234375,1.9804404592466582,6.812609074990856,-0.021747190202753508,0.00821917808219178,-0.03311555329171234,60 days
2009-05-12,908.3499755859376,1.9785018940295331,6.81162974000738,-0.0009793349834765763,0.0027397260273972603,-0.03216818570868185,59 days
2009-05-13,883.9199829101562,1.9252902596603216,6.784366541470767,-0.02726319853661252,0.0027397260273972603,-0.005419017693856776,58 days
2009-05-14,893.0700073242188,1.9452201777758162,6.794664973463539,0.010298431992771917,0.0027397260273972603,-0.015609081401325664,57 days
